6622,01/01/19,AM,DB
6627,01/01/19,AM,DB
6618,01/01/19,AM,DB
6611,01/01/19,AM,DB
6683,01/01/19,AM,DB
6616,01/01/19,AM,DB
6625,01/01/19,AM,DB
6615,01/01/19,AM,DB
6617,01/01/19,AM,DB
6614,01/01/19,AM,DB
6626,01/01/19,AM,DB
6628,01/01/19,AM,DB
6624,01/01/19,AM,DB
6620,01/01/19,AM,DB
6613,01/01/19,AM,DB
6610,01/01/19,AM,DB
6684,01/01/19,AM,DB
6621,01/01/19,AM,DB
6619,01/01/19,AM,DB
6612,01/01/19,AM,DB
6612,01/02/19,AM,DB
6618,01/02/19,AM,DB
6620,01/02/19,AM,DB
6621,01/02/19,AM,DB
6627,01/02/19,AM,DB
6624,01/02/19,AM,DB
6625,01/02/19,AM,DB
6613,01/02/19,AM,DB
6623,01/02/19,AM,DB
6617,01/02/19,AM,DB
6619,01/02/19,AM,DB
6611,01/02/19,AM,DB
6622,01/02/19,AM,DB
6626,01/02/19,AM,DB
6614,01/02/19,AM,DB
6610,01/02/19,AM,DB
6628,01/02/19,AM,DB
6684,01/02/19,AM,DB
6616,01/02/19,AM,DB
6621,01/03/19,AM,DB
6628,01/03/19,AM,DB
6618,01/03/19,AM,DB
6613,01/03/19,AM,DB
6683,01/03/19,AM,DB
6626,01/03/19,AM,DB
6614,01/03/19,AM,DB
6622,01/03/19,AM,DB
6619,01/03/19,AM,DB
6612,01/03/19,AM,DB
6615,01/03/19,AM,DB
6684,01/03/19,AM,DB
6623,01/03/19,AM,DB
6616,01/03/19,AM,DB
6620,01/03/19,AM,DB
6610,01/03/19,AM,DB
6617,01/03/19,AM,DB
6625,01/03/19,AM,DB
6627,01/03/19,AM,DB
6624,01/03/19,AM,DB
6611,01/03/19,AM,DB
6628,01/04/19,AM,DB
6613,01/04/19,AM,DB
6622,01/04/19,AM,DB
6614,01/04/19,AM,DB
6620,01/04/19,AM,DB
6612,01/04/19,AM,DB
6627,01/04/19,AM,DB
6626,01/04/19,AM,DB
6615,01/04/19,AM,DB
6621,01/04/19,AM,DB
6625,01/04/19,AM,DB
6624,01/04/19,AM,DB
6623,01/04/19,AM,DB
6619,01/04/19,AM,DB
6618,01/04/19,AM,DB
6616,01/04/19,AM,DB
6684,01/04/19,AM,DB
6617,01/04/19,AM,DB
6683,01/04/19,AM,DB
6621,01/05/19,AM,DB
6624,01/05/19,AM,DB
6612,01/05/19,AM,DB
6614,01/05/19,AM,DB
6683,01/05/19,AM,DB
6620,01/05/19,AM,DB
6684,01/05/19,AM,DB
6625,01/05/19,AM,DB
6626,01/05/19,AM,DB
6619,01/05/19,AM,DB
6616,01/05/19,AM,DB
6623,01/05/19,AM,DB
6622,01/05/19,AM,DB
6617,01/05/19,AM,DB
